LIEU_IDENTIFIANT,LIEU_LIBELLE,LIEU_MNEMONIQUE,LATITUDE,LONGITUDE,DCSMM_SOUS_REGION,QUADRIGE_ZONEMARINE,DCE_MASSE_EAU,PROGRAMME,TAXON_PRESENT
41109012,"114-P-064 - 29F - Nice ville",114-P-064,43.6925116115,7.2672716464,"DCSMM sous-région Méditerranée-Occidentale","114 - Cannes - Menton","FRDC09B - Port Antibes - Port de commerce de Nice",RINBIO,
42117004,"122-P-004 - 44B - Ajaccio nord",122-P-004,41.9051527162,8.6971641759,"DCSMM sous-région Méditerranée-Occidentale","122 - Corse Ouest","FREC04B - Golfe d'Ajaccio",RINBIO,
36081021,"095-P-021 - 07B - Fleury",095-P-021,43.1809618594,3.2410339278,"DCSMM sous-région Méditerranée-Occidentale","095 - Littoral de l'embouchure du Tech au Grau d'Agde",,RINBIO,
43113005,"117-P-005 - 34B - Fium orbo",117-P-005,41.9669939821,9.4641790744,"DCSMM sous-région Méditerranée-Occidentale","117 - Plaine Orientale",,RINBIO,
60003361,"110-P-115 - BER-Berre",110-P-115,43.4325005029169,5.11269965801651,,"110 - Etangs de Berre - Vaine - Bolmon","FRDT15A - Etang de Berre Grand Etang","REPHY,RINBIO,RSLHYD",
42117008,"122-P-008 - 41A0 - Bonifacio",122-P-008,41.3946459295,9.1201807113,"DCSMM sous-région Méditerranée-Occidentale","122 - Corse Ouest","FREC03EG - Littoral Sud Ouest de la Corse",RINBIO,
60006793,"114-P-197 - Golfe Juan Emissaire STEP",114-P-197,43.5473838261919,7.08345001005833,"DCSMM sous-région Méditerranée-Occidentale","114 - Cannes - Menton","FRDC08E - Pointe de la Galère - Cap d'Antibes",RINBIO,
60004742,"114-P-174 - Monaco Sud - Cap d'Ail",114-P-174,43.7195001005834,7.42230034198352,,"114 - Cannes - Menton","FRDC10A - Cap Ferrat - Cap d'Ail",RINBIO,
60004946,"113-P-097 - Saint Tropez Rejet STEP",113-P-097,43.2753490243412,6.64419734459867,"DCSMM sous-région Méditerranée-Occidentale","113 - Giens - Estérel","FRDC08B - Ouest Fréjus - Saint Raphaël",RINBIO,
43116003,"121-P-002 - 39A - porto vecchio",121-P-002,41.6046520564,9.3363486442,"DCSMM sous-région Méditerranée-Occidentale","121 - Porto Vecchio","FREC03AD - Littoral Sud Est de la Corse",RINBIO,
42119001,"122-P-097 - 31A - Pino",122-P-097,42.8900124497,9.3209947918,"DCSMM sous-région Méditerranée-Occidentale","122 - Corse Ouest","FREC01D - Canari",RINBIO,
36081010,"095-P-010 - 02A - St cyprien",095-P-010,42.621615086,3.0560406107,"DCSMM sous-région Méditerranée-Occidentale","095 - Littoral de l'embouchure du Tech au Grau d'Agde","FRDC02A - Racou Plage - Embouchure de l'Aude",RINBIO,
60006791,"114-P-195 - Golfe Juan - Pneus",114-P-195,43.550116676725,7.07071715952526,"DCSMM sous-région Méditerranée-Occidentale","114 - Cannes - Menton","FRDC08E - Pointe de la Galère - Cap d'Antibes",RINBIO,
40104003,"113-P-022 - 24A - Lavandou",113-P-022,43.1074904808,6.3770970276,"DCSMM sous-région Méditerranée-Occidentale","113 - Giens - Estérel","FRDC07J - Cap Bénat - Cap Camarat",RINBIO,
43113006,"117-P-006 - 34D - Solenzara",117-P-006,41.8788250757,9.4173461271,"DCSMM sous-région Méditerranée-Occidentale","117 - Plaine Orientale","FREC02D - Plaine Orientale",RINBIO,
36083374,"097-P-091 - LEN - Leucate Nord",097-P-091,42.8832867504,3.0165351123,,"097 - Etang de Salses-Leucate","FRDT02 - Salses-Leucate","REPHY,RINBIO,RSLHYD",
37089005,"105-P-003 - 11B - Etang du prevost",105-P-003,43.5198089965,3.9073738709,"DCSMM sous-région Méditerranée-Occidentale","105 - Etangs Palavasiens",,RINBIO,
42117002,"122-P-002 - Pianotolli",122-P-002,41.4656468575,9.0606784149,"DCSMM sous-région Méditerranée-Occidentale","122 - Corse Ouest","FREC03EG - Littoral Sud Ouest de la Corse",RINBIO,
60004952,"111-P-353 - Cassidaigne Nord",111-P-353,43.1455481794408,5.49927278213639,"DCSMM sous-région Méditerranée-Occidentale","111 - Marseille et calanques","FRDC07B - Cap croisette - Bec de l'Aigle",RINBIO,
39096012,"111-P-019 - 19E - Huveaume",111-P-019,43.2539839682,5.3539072452,"DCSMM sous-région Méditerranée-Occidentale","111 - Marseille et calanques","FRDC06B - Pointe d'Endoume - Cap Croisette et Iles du Frioul",RINBIO,
42118003,"122-P-079 - 47A - Galeria",122-P-079,42.4423302041,8.6466546102,"DCSMM sous-région Méditerranée-Occidentale","122 - Corse Ouest","FREC01AB - Pointe Palazzu - Sud Nonza",RINBIO,
39098001,"111-P-217 - 21A - La ciotat 1",111-P-217,43.1784849336,5.6259140166,"DCSMM sous-région Méditerranée-Occidentale","111 - Marseille et calanques","FRDC07C - Bec de l'Aigle -  Pointe de la Fauconnière",RINBIO,
40105002,"113-P-034 - 26B - Les issambres",113-P-034,43.3418321325,6.7230999615,"DCSMM sous-région Méditerranée-Occidentale","113 - Giens - Estérel","FRDC08A - Cap Camarat - Ouest Fréjus",RINBIO,
40100014,"112-P-013 - 22D - Ste marguerite",112-P-013,43.0919865594,5.9945895931,"DCSMM sous-région Méditerranée-Occidentale","112 - Rade de Toulon","FRDC07G - Cap Cepet - Cap de Carqueiranne",RINBIO,
36081016,"095-P-016 - 02D - Tet 1",095-P-016,42.7154502906,3.0507054812,"DCSMM sous-région Méditerranée-Occidentale","095 - Littoral de l'embouchure du Tech au Grau d'Agde","FRDC02A - Racou Plage - Embouchure de l'Aude","RINBIO,ROCCHSED",
39099003,"111-P-234 - 21E - ile embiez",111-P-234,43.0778338339,5.7378330309,"DCSMM sous-région Méditerranée-Occidentale","111 - Marseille et calanques","FRDC07E - Ilot Pierreplane -  Pointe du Gaou",RINBIO,
60004944,"111-P-349 - Sanary Rejet STEP",111-P-349,43.111308589821,5.75075236370952,"DCSMM sous-région Méditerranée-Occidentale","111 - Marseille et calanques","FRDC07E - Ilot Pierreplane -  Pointe du Gaou",RINBIO,
60004470,"114-P-168 - Monaco SM",114-P-168,43.7285,7.429833,,"114 - Cannes - Menton",,RINBIO,
40103001,"113-P-005 - 23C - Port cros",113-P-005,43.0149886108,6.3899322268,"DCSMM sous-région Méditerranée-Occidentale","113 - Giens - Estérel","FRDC07H - Ile d'Hyères",RINBIO,
41110002,"114-P-115 - 30B - Beaulieu",114-P-115,43.7073460048,7.3457730106,"DCSMM sous-région Méditerranée-Occidentale","114 - Cannes - Menton","FRDC10A - Cap Ferrat - Cap d'Ail",RINBIO,
37089011,"105-P-005 - 11F - Etang de Lapeyrade",105-P-005,43.4304721069,3.7413722982,,"105 - Etangs Palavasiens",,"RINBIO,ROCCHSED",
41109007,"114-P-059 - 29B - Apt Nice",114-P-059,43.6475101639,7.2194381172,"DCSMM sous-région Méditerranée-Occidentale","114 - Cannes - Menton","FRDC09B - Port Antibes - Port de commerce de Nice","REBENT_FAU,RINBIO",
60004933,"115-P-032 - Bastia Nord Rejet STEP",115-P-032,42.705921343794,9.46000201166768,"DCSMM sous-région Méditerranée-Occidentale","115 - Cap Corse - Bastia","FREC02C - Littoral Bastiais",RINBIO,
41107001,"114-P-001 - 27B - Frejus est",114-P-001,43.4221672533,6.9048322696,"DCSMM sous-région Méditerranée-Occidentale","114 - Cannes - Menton","FRDC08D - Saint Raphaël - Pointe de la Galère",RINBIO,
42119002,"115-P-001 - 31C - Centuri",115-P-001,42.9425138679,9.3518279217,"DCSMM sous-région Méditerranée-Occidentale","115 - Cap Corse - Bastia","FREC01E - Cap Ouest",RINBIO,
40100012,"112-P-011 - 22A - St mandrier",112-P-011,43.0683186991,5.9217552133,"DCSMM sous-région Méditerranée-Occidentale","112 - Rade de Toulon","FRDC07F - Pointe du Gaou - Pointe Escampobariou",RINBIO,
60006330,"122-P-153 - Ajaccio Gravone STEP",122-P-153,41.906767,8.785933,"DCSMM sous-région Méditerranée-Occidentale","122 - Corse Ouest","FREC04B - Golfe d'Ajaccio",RINBIO,
60006090,"113-P-136 - Gapeau",113-P-136,43.104779,6.195503,"DCSMM sous-région Méditerranée-Occidentale","113 - Giens - Estérel","FRDC07I - Cap de l'Estérel - Cap de Brégançon",RINBIO,
60004738,"110-P-117 - 17E - Etang de Berre Arc",110-P-117,43.5068497284249,5.10306980486823,,"110 - Etangs de Berre - Vaine - Bolmon","FRDT15A - Etang de Berre Grand Etang",RINBIO,
40100011,"112-P-010 - 22B - Toulon gde rade",112-P-010,43.0789992381,5.9546673528,"DCSMM sous-région Méditerranée-Occidentale","112 - Rade de Toulon","FRDC07G - Cap Cepet - Cap de Carqueiranne","REPHY,RINBIO",
36081013,"095-P-013 - 02B - Canet plage",095-P-013,42.7229505613,3.0625389032,"DCSMM sous-région Méditerranée-Occidentale","095 - Littoral de l'embouchure du Tech au Grau d'Agde","FRDC02A - Racou Plage - Embouchure de l'Aude",RINBIO,
37089371,"105-P-182 - PRE - Prévost Est",105-P-182,43.5291426247,3.9168738827,"DCSMM sous-région Méditerranée-Occidentale","105 - Etangs Palavasiens","FRDT11B - Etangs Palavasiens Est","REPHY,RINBIO,RSLHYD",
38093003,"106-P-012 - 15A - Stes maries",106-P-012,43.4409791133,4.4330522946,"DCSMM sous-région Méditerranée-Occidentale","106 - Côte camarguaise","FRDT21 - Delta du Rhône",RINBIO,
37088022,"102-P-025 - 10D - Montpellier émissaire STEP",102-P-025,43.4339743867,3.9653765948,"DCSMM sous-région Méditerranée-Occidentale","102 - Côte languedocienne",,RINBIO,
40103004,"113-P-008 - 23G - Hyeres ouest 2",113-P-008,43.0906549263,6.1785933166,"DCSMM sous-région Méditerranée-Occidentale","113 - Giens - Estérel","FRDC07I - Cap de l'Estérel - Cap de Brégançon",RINBIO,
41108004,"114-P-006 - 28A0 - Cannes ouest",114-P-006,43.5015045075,6.9592686607,"DCSMM sous-région Méditerranée-Occidentale","114 - Cannes - Menton","FRDC08E - Pointe de la Galère - Cap d'Antibes",RINBIO,
60004936,"114-P-176 - Cannes Rejet STEP",114-P-176,43.531376,6.963557,"DCSMM sous-région Méditerranée-Occidentale","114 - Cannes - Menton","FRDC08E - Pointe de la Galère - Cap d'Antibes",RINBIO,
37088021,"102-P-024 - 08A - Marseillan",102-P-024,43.2893006468,3.5608714159,"DCSMM sous-région Méditerranée-Occidentale","102 - Côte languedocienne",,RINBIO,
36083002,"097-P-002 - Parc Leucate 2",097-P-002,42.8727865115,3.0143685963,,"097 - Etang de Salses-Leucate","FRDT02 - Salses-Leucate","REMI,REPHY,REPHYTOX,RINBIO,ROCCHMV","Crassostrea gigas (huître creuse);Mytilus galloprovincialis (moule méditerranéenne);Ruditapes decussatus (palourde grise)"
39096010,"111-P-017 - 19C - Marseille jetee",111-P-017,43.3376522026,5.3290719174,"DCSMM sous-région Méditerranée-Occidentale","111 - Marseille et calanques","FRDC06A - Petite Rade de Marseille",RINBIO,
38094019,"109-P-017 - 15C - Rhône",109-P-017,43.318980679,4.8655630493,"DCSMM sous-région Méditerranée-Occidentale","109 - Golfe de Fos","FRDC04 - Golfe de Fos",RINBIO,
40101001,"113-P-001 - 23A - Giens",113-P-001,43.0401529646,6.0850923172,"DCSMM sous-région Méditerranée-Occidentale","113 - Giens - Estérel","FRDC07F - Pointe du Gaou - Pointe Escampobariou",RINBIO,
60006790,"114-P-194 - Cap d'Antibes Sud",114-P-194,43.5418336350835,7.11871655602494,"DCSMM sous-région Méditerranée-Occidentale","114 - Cannes - Menton","FRDC08E - Pointe de la Galère - Cap d'Antibes",RINBIO,
60004029,"114-P-160 - Antibes nord DC",114-P-160,43.6130999798833,7.13509957754979,"DCSMM sous-région Méditerranée-Occidentale","114 - Cannes - Menton","FRDC09B - Port Antibes - Port de commerce de Nice","REBENT_FAU,RINBIO",
42117009,"122-P-009 - 43C - Sartene",122-P-009,41.5749801079,8.7933379323,"DCSMM sous-région Méditerranée-Occidentale","122 - Corse Ouest","FREC04AC - Pointe Senetosa - Pointe Palazzu",RINBIO,
