colonie_id;secteur_nom_en;secteur_nom_fr;colonie_nom_en;colonie_nom_fr;etang;gestion;sousunite_nom_en;sousunite_nom_fr;subreg_id;latitude;longitude
701;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-042 (Roc'h Losquet);2205-05-042 (Roc'h Losquet);2;48.84081;-3.026459
702;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-043 (rocher à l'O de Men ar Gouilh (1er à l'est de l'ile C'hrou Ezen));2205-05-043 (rocher à l'O de Men ar Gouilh (1er à l'est de l'ile C'hrou Ezen));2;48.846872;-3.016877
703;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-044 (Men ar Gouilh);2205-05-044 (Men ar Gouilh);2;48.847148;-3.015145
704;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-046 (C'hrou Ezen);2205-05-046 (C'hrou Ezen);2;48.846592;-3.018895
705;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-049 (ile au NO de l'ile Biniguet);2205-05-049 (ile au NO de l'ile Biniguet);2;48.844795;-3.021398
706;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-050 (Cote 11 m au sud de Roc'h ar Vranig);2205-05-050 (Cote 11 m au sud de Roc'h ar Vranig);2;48.844009;-3.023842
707;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-051 (îlot au NE de l'île Verte entre île verte et Roc'h ar Musig);2205-05-051 (îlot au NE de l'île Verte entre île verte et Roc'h ar Musig);2;48.845008;-3.030851
708;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-052 (îlot au NO de l'île à l'ouest des trois îlots au sud de Roc'h ar Musig);2205-05-052 (îlot au NO de l'île à l'ouest des trois îlots au sud de Roc'h ar Musig);2;48.846665;-3.030464
709;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-053 (Ile à l'ouest des trois ilots au sud de Roc'h ar Musig);2205-05-053 (Ile à l'ouest des trois ilots au sud de Roc'h ar Musig);2;48.845741;-3.027993
710;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-055 (îlot au SO de Roc'h ar Musig / Roc'h ar Vranig);2205-05-055 (îlot au SO de Roc'h ar Musig / Roc'h ar Vranig);2;48.846374;-3.025943
711;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-056 (les 3 ilots au sud de Roc'h ar Musig);2205-05-056 (les 3 ilots au sud de Roc'h ar Musig);2;48.845516;-3.025376
712;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-057 (îlot au SE du (Ilot au S-O de Roch ar Musig /O Roc'h ar vranig));2205-05-057 (îlot au SE du (Ilot au S-O de Roch ar Musig /O Roc'h ar vranig));2;48.846008;-3.024854
713;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-058 (Roc'h ar Vranig);2205-05-058 (Roc'h ar Vranig);2;48.84665;-3.022
714;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-059 (Roc'h ar Musig);2205-05-059 (Roc'h ar Musig);2;48.847628;-3.023902
715;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-060 (Ilot au nord de Roc'h ar Musig);2205-05-060 (Ilot au nord de Roc'h ar Musig);2;48.848398;-3.024801
716;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-061 (Cote 12m à l'ouest de Roc'h ar Musig);2205-05-061 (Cote 12m à l'ouest de Roc'h ar Musig);2;48.848161;-3.027861
717;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-062 (annexe d'Ar C'hi (cote 12 m));2205-05-062 (annexe d'Ar C'hi (cote 12 m));2;48.847878;-3.028132
718;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-063 (Roche cote 7m à l'ouest de la cote 12m à l'ouest de Roc'h ar Musig);2205-05-063 (Roche cote 7m à l'ouest de la cote 12m à l'ouest de Roc'h ar Musig);2;48.848241;-3.030067
719;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-064 (ile à l'ouest de la cote 11m de Roc'h Drainsec ouest);2205-05-064 (ile à l'ouest de la cote 11m de Roc'h Drainsec ouest);2;48.849705;-3.028172
720;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-065 (ilots au NO de Roc'h Drainsec ouest (cote 11m));2205-05-065 (ilots au NO de Roc'h Drainsec ouest (cote 11m));2;48.850489;-3.026383
721;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-066 (Roc'h Drainsec ouest (cote 11m));2205-05-066 (Roc'h Drainsec ouest (cote 11m));2;48.849574;-3.023899
722;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-067 (rocher Roc'h Drainsec);2205-05-067 (rocher Roc'h Drainsec);2;48.85;-3.022428
723;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-068 (Roc'h Drainsec ouest (cote 10m));2205-05-068 (Roc'h Drainsec ouest (cote 10m));2;48.849501;-3.018322
724;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-069 (Roc'h Drainsec (2ème ilot au sud de la cote 14m));2205-05-069 (Roc'h Drainsec (2ème ilot au sud de la cote 14m));2;48.84927;-3.016852
725;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-070 (Ilot au SW de la Croix de Modez);2205-05-070 (Ilot au SW de la Croix de Modez);2;48.849173;-3.015804
726;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-071 (Roc'h Drainsec (1er ilot au sud de la cote 14m));2205-05-071 (Roc'h Drainsec (1er ilot au sud de la cote 14m));2;48.850015;-3.016697
727;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-072 (Roc'h Drainsec (cote 14m));2205-05-072 (Roc'h Drainsec (cote 14m));2;48.851001;-3.016416
728;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-073 (Roc'h Drainsec (au NO de la cote 14m));2205-05-073 (Roc'h Drainsec (au NO de la cote 14m));2;48.851534;-3.017168
729;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-074 (Men ar Gall (sud));2205-05-074 (Men ar Gall (sud));2;48.852533;-3.02239
730;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-075 (Men ar Gall (cote 9,7m));2205-05-075 (Men ar Gall (cote 9,7m));2;48.853247;-3.023351
731;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-076 (Men ar Gall (cote 15m));2205-05-076 (Men ar Gall (cote 15m));2;48.853685;-3.020625
732;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-077 (Cote 16m à l'entrée du port de la Corderie);2205-05-077 (Cote 16m à l'entrée du port de la Corderie);2;48.854461;-3.011382
733;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-078 (Roches au nord de la balise rouge Monsellou Richard);2205-05-078 (Roches au nord de la balise rouge Monsellou Richard);2;48.855104;-3.014315
734;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-079 (Le Chandelier);2205-05-079 (Le Chandelier);2;48.860873;-3.009027
735;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-080 (Cote 14m sur la cote nord de Bréhat);2205-05-080 (Cote 14m sur la cote nord de Bréhat);2;48.860204;-3.005463
736;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-081 (ilot nord anse du rosedo);2205-05-081 (ilot nord anse du rosedo);2;48.861701;-3.00163
737;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-086 (Cote nord de Bréhat);2205-05-086 (Cote nord de Bréhat);2;48.865281;-2.988687
738;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Bréhat - ouest;Archipel de Bréhat - ouest;;;2205-05-88 (sud ouest Biniget);2205-05-88 (sud ouest Biniget);2;48.839371;3.022965
739;ESTUAIRE DU JAUDY;ESTUAIRE DU JAUDY;Archipel de l'Île d'Er;Archipel de l'Île d'Er;;;2206-02-006 (Ile verte);2206-02-006 (Ile verte);2;48.859953;-3.190744
740;ESTUAIRE DU JAUDY;ESTUAIRE DU JAUDY;Archipel de l'Île d'Er;Archipel de l'Île d'Er;;;2206-02-010 (Ile d'Er);2206-02-010 (Ile d'Er);2;48.872978;-3.183243
741;ESTUAIRE DU JAUDY;ESTUAIRE DU JAUDY;Archipel de l'Île d'Er;Archipel de l'Île d'Er;;;2206-02-014 (Le Colombier);2206-02-014 (Le Colombier);2;48.883452;-3.199989
742;ESTUAIRE DU JAUDY;ESTUAIRE DU JAUDY;Archipel de l'Île d'Er;Archipel de l'Île d'Er;;;2206-02-015 (Roc'h Nord Laerez);2206-02-015 (Roc'h Nord Laerez);2;48.88458;-3.201899
743;ESTUAIRE DU JAUDY;ESTUAIRE DU JAUDY;Archipel de l'Île d'Er;Archipel de l'Île d'Er;;;2206-02-016 (La Vache);2206-02-016 (La Vache);2;48.880284;-3.196043
744;ESTUAIRE DU JAUDY;ESTUAIRE DU JAUDY;Archipel de l'Île d'Er;Archipel de l'Île d'Er;;;2206-02-017 (Ploumanisiou);2206-02-017 (Ploumanisiou);2;48.879464;-3.199357
745;ESTUAIRE DU JAUDY;ESTUAIRE DU JAUDY;Archipel de l'Île d'Er;Archipel de l'Île d'Er;;;2206-02-018 (Roch toull tan bras);2206-02-018 (Roch toull tan bras);2;48.876738;-3.20024
746;ESTUAIRE DU JAUDY;ESTUAIRE DU JAUDY;Archipel de l'Île d'Er;Archipel de l'Île d'Er;;;2206-02-019 (toull tan bihan);2206-02-019 (toull tan bihan);2;48.876471;-3.196278
747;ESTUAIRE DU JAUDY;ESTUAIRE DU JAUDY;Archipel de l'Île d'Er;Archipel de l'Île d'Er;;;2206-02-020 (cote 13 N ile d'Er);2206-02-020 (cote 13 N ile d'Er);2;48.875821;-3.190881
748;ESTUAIRE DU JAUDY;ESTUAIRE DU JAUDY;Archipel de l'Île d'Er;Archipel de l'Île d'Er;;;2206-02-023 (cote 20 nord petite ile / Men Menoter);2206-02-023 (cote 20 nord petite ile / Men Menoter);2;48.868486;-3.192652
749;ESTUAIRE DU JAUDY;ESTUAIRE DU JAUDY;Archipel de l'Île d'Er;Archipel de l'Île d'Er;;;2206-02-032 (Roch poull jouan);2206-02-032 (Roch poull jouan);2;48.8693;-3.210398
750;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-001 (Roc'h Velen);2205-06-001 (Roc'h Velen);2;48.851604;-3.053103
751;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-002 (Roc'h Louet);2205-06-002 (Roc'h Louet);2;48.855634;-3.039502
752;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-003 (Roc'h Louet ouest);2205-06-003 (Roc'h Louet ouest);2;48.855606;-3.039936
753;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-006 (Les Trusques (cote 16m));2205-06-006 (Les Trusques (cote 16m));2;48.856888;-3.044452
754;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-007 (Les Trusques (cote 9m);2205-06-007 (Les Trusques (cote 9m);2;48.857005;-3.046252
755;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-008 (Les Trusques (cote 7m));2205-06-008 (Les Trusques (cote 7m));2;48.8577;-3.046407
756;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-009 (Rocher cote 9m au SW de Modez);2205-06-009 (Rocher cote 9m au SW de Modez);2;48.859786;-3.048098
757;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-011 (Ile au nord de la Cote 9m à l'ouest de la pointe SW de Modez);2205-06-011 (Ile au nord de la Cote 9m à l'ouest de la pointe SW de Modez);2;48.860923;-3.047861
758;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-012 (île à l'ouest de la cote 13m au NO de la pointe SW de Modez);2205-06-012 (île à l'ouest de la cote 13m au NO de la pointe SW de Modez);2;48.861242;-3.046775
759;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-013 (Cote 13m au NO de la pointe SW de Modez);2205-06-013 (Cote 13m au NO de la pointe SW de Modez);2;48.861243;-3.045369
760;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-014 (Modez);2205-06-014 (Modez);2;48.86178;-3.038857
761;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-015 (Cote 10m au NO de la pointe SW de Modez);2205-06-015 (Cote 10m au NO de la pointe SW de Modez);2;48.863204;-3.046624
762;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-016 (Cote 10m au SE de l'île Vierge + roches annexes) / ile aux pigeons;2205-06-016 (Cote 10m au SE de l'île Vierge + roches annexes) / ile aux pigeons;2;48.863404;-3.05354
763;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-017 (Cote 11m au sud de l'île vierge);2205-06-017 (Cote 11m au sud de l'île vierge);2;48.860438;-3.057955
764;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-018 (cote 11m au SE de l'ile Vierge);2205-06-018 (cote 11m au SE de l'ile Vierge);2;48.866046;-3.053282
765;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-019 (île vierge);2205-06-019 (île vierge);2;48.867118;-3.056658
766;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-030 (Roc'h Kaer);2205-06-030 (Roc'h Kaer);2;48.864965;-3.024783
767;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-033 (Ilot à l'est de la cote 10m au NO de la pointe SW de Modez);2205-06-033 (Ilot à l'est de la cote 10m au NO de la pointe SW de Modez);2;48.863422;-3.045978
768;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-034 (îlot au SE de l'île vierge);2205-06-034 (îlot au SE de l'île vierge);2;48.863534;-3.050468
769;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-035 (îlot au NE de l'île vierge);2205-06-035 (îlot au NE de l'île vierge);2;48.867676;-3.055296
770;CÔTE DU GOELO;CÔTE DU GOELO;Archipel de Modez;Archipel de Modez;;;2205-06-036 (Cote 11m au sud de l'île Vierge, au nord du 017);2205-06-036 (Cote 11m au sud de l'île Vierge, au nord du 017);2;48.860889;-3.058455
